NASDAQ:AAPL,,NASDAQ: NVDA,,NASDAQ: MSFT,
Date,Close,Date,Close,Date,Close
02/01/2025,243.85,02/01/2025,138.31,02/01/2025,418.58
03/01/2025,243.36,03/01/2025,144.47,03/01/2025,423.35
06/01/2025,245,06/01/2025,149.43,06/01/2025,427.85
07/01/2025,242.21,07/01/2025,140.14,07/01/2025,422.37
08/01/2025,242.7,08/01/2025,140.11,08/01/2025,424.56
10/01/2025,236.85,10/01/2025,135.91,10/01/2025,418.95
13/01/2025,234.4,13/01/2025,133.23,13/01/2025,417.19
14/01/2025,233.28,14/01/2025,131.76,14/01/2025,415.67
15/01/2025,237.87,15/01/2025,136.24,15/01/2025,426.31
16/01/2025,228.26,16/01/2025,133.57,16/01/2025,424.58
17/01/2025,229.98,17/01/2025,137.71,17/01/2025,429.03
21/01/2025,222.64,21/01/2025,140.83,21/01/2025,428.5
22/01/2025,223.83,22/01/2025,147.07,22/01/2025,446.2
23/01/2025,223.66,23/01/2025,147.22,23/01/2025,446.71
24/01/2025,222.78,24/01/2025,142.62,24/01/2025,444.06
27/01/2025,229.86,27/01/2025,118.42,27/01/2025,434.56
28/01/2025,238.26,28/01/2025,128.99,28/01/2025,447.2
29/01/2025,239.36,29/01/2025,123.7,29/01/2025,442.33
30/01/2025,237.59,30/01/2025,124.65,30/01/2025,414.99
31/01/2025,236,31/01/2025,120.07,31/01/2025,415.06
03/02/2025,228.01,03/02/2025,116.66,03/02/2025,410.92
04/02/2025,232.8,04/02/2025,118.65,04/02/2025,412.37
05/02/2025,232.47,05/02/2025,124.83,05/02/2025,413.29
06/02/2025,233.22,06/02/2025,128.68,06/02/2025,415.82
07/02/2025,227.63,07/02/2025,129.84,07/02/2025,409.75
10/02/2025,227.65,10/02/2025,133.57,10/02/2025,412.22
11/02/2025,232.62,11/02/2025,132.8,11/02/2025,411.44
12/02/2025,236.87,12/02/2025,131.14,12/02/2025,409.04
13/02/2025,241.53,13/02/2025,135.29,13/02/2025,410.54
14/02/2025,244.6,14/02/2025,138.85,14/02/2025,408.43
18/02/2025,244.47,18/02/2025,139.4,18/02/2025,409.64
19/02/2025,244.87,19/02/2025,139.23,19/02/2025,414.77
20/02/2025,245.83,20/02/2025,140.11,20/02/2025,416.13
21/02/2025,245.55,21/02/2025,134.43,21/02/2025,408.21
24/02/2025,247.1,24/02/2025,130.28,24/02/2025,404
25/02/2025,247.04,25/02/2025,126.63,25/02/2025,397.9
26/02/2025,240.36,26/02/2025,131.28,26/02/2025,399.73
27/02/2025,237.3,27/02/2025,120.15,27/02/2025,392.53
28/02/2025,241.84,28/02/2025,124.92,28/02/2025,396.99
03/03/2025,238.03,03/03/2025,114.06,03/03/2025,388.49
04/03/2025,235.93,04/03/2025,115.99,04/03/2025,388.61
05/03/2025,235.74,05/03/2025,117.3,05/03/2025,401.02
06/03/2025,235.33,06/03/2025,110.57,06/03/2025,396.89
07/03/2025,239.07,07/03/2025,112.69,07/03/2025,393.31
10/03/2025,227.48,10/03/2025,106.98,10/03/2025,380.16
11/03/2025,220.84,11/03/2025,108.76,11/03/2025,380.45
12/03/2025,216.98,12/03/2025,115.74,12/03/2025,383.27
13/03/2025,209.68,13/03/2025,115.58,13/03/2025,378.77
14/03/2025,213.49,14/03/2025,121.67,14/03/2025,388.56
17/03/2025,214,17/03/2025,119.53,17/03/2025,388.7
18/03/2025,212.69,18/03/2025,115.43,18/03/2025,383.52
19/03/2025,215.24,19/03/2025,117.52,19/03/2025,387.82
20/03/2025,214.1,20/03/2025,118.53,20/03/2025,386.84
21/03/2025,218.27,21/03/2025,117.7,21/03/2025,391.26
24/03/2025,220.73,24/03/2025,121.41,24/03/2025,393.08
25/03/2025,223.75,25/03/2025,120.69,25/03/2025,395.16
26/03/2025,221.53,26/03/2025,113.76,26/03/2025,389.97
27/03/2025,223.85,27/03/2025,111.43,27/03/2025,390.58
28/03/2025,217.9,28/03/2025,109.67,28/03/2025,378.8
31/03/2025,222.13,31/03/2025,108.38,31/03/2025,375.39
01/04/2025,223.19,01/04/2025,110.15,01/04/2025,382.19
02/04/2025,223.89,02/04/2025,110.42,02/04/2025,382.14
03/04/2025,203.19,03/04/2025,101.8,03/04/2025,373.11
04/04/2025,188.38,04/04/2025,94.31,04/04/2025,359.84
07/04/2025,181.46,07/04/2025,97.64,07/04/2025,357.86
